Symbol,xRNA16h,xRNA6h,pUUC16h,pUUC6h,R84816h,R8486h
CA8,-0.264024442,-0.086905475,0.050708962,0.251255285,1.741519444,2.838093053
TTC39B,-0.219273836,-0.059597442,-0.053349676,-0.016773774,0.042454095,-2.919667207
SIT1,-0.730900988,-0.75496796,0.631224013,0.150747228,1.634254498,2.815265176
ALG2,1.069205867,2.224835811,-0.058466194,-0.191395498,-2.159684741,-2.744570963
ABCA1,0.844811575,-0.201513107,-0.512753066,0.041068442,-2.789818492,-3.161580789
FSD1L,0.667687836,0.712081857,0.236314003,0.224424893,-0.819306121,-5.451529361
RGS3,-0.487346746,1.57046488,0.546423147,0.233374085,-2.009273459,-4.154640746
FAM78A,-0.924971264,-0.250249859,0.376602097,0.221832512,1.939083954,2.928226791
GBGT1,0.256777323,0.202339631,0.148774542,0.212532273,1.216129025,2.681626951
OPTN,0.689528246,0.262129938,-0.289732521,-0.522040571,-2.165403936,-2.460321775
MASTL,0.337038559,0.302844679,-0.339575475,-0.380049027,-1.651334745,-2.500662139
MAP3K8,-0.68255287,0.147759797,-0.021462441,-0.070336442,-1.453272856,-3.066940322
